id,recipe,norm_amount,procedure
3031,polévka rajská s těstovinou,10,Přesunuto ze Strávníčku
3033,polévka rýžová bílá,10,Přesunuto ze Strávníčku
3034,polévka selská,10,Přesunuto ze Strávníčku
3035,polévka slepičí,10,Přesunuto ze Strávníčku
3039,polévka vločková,10,Přesunuto ze Strávníčku
3040,polévka zeleninová,10,Přesunuto ze Strávníčku
3042,polévka zelnačka,10,Přesunuto ze Strávníčku
3045,polévka s kapáním,10,Přesunuto ze Strávníčku
3046,polévka s játr.knedlíčky,10,Přesunuto ze Strávníčku
3052,polévka se strouháním,10,Přesunuto ze Strávníčku
3055,guláš debrecínský,10,Přesunuto ze Strávníčku
3056,guláš hovězí,10,Přesunuto ze Strávníčku
3058,hovězí maso dušené v kapustě,10,Přesunuto ze Strávníčku
3059,hovězí svíčková,10,Přesunuto ze Strávníčku
3061,hovězí pečeně přírodní-na pepři-zázvoru,10,Přesunuto ze Strávníčku
3062,hovězí pečeně cikánská,10,Přesunuto ze Strávníčku
3063,hovězí pečeně frankfurtská,10,Přesunuto ze Strávníčku
3064,hovězí pečeně na zelenině,10,Přesunuto ze Strávníčku
3065,hovězí pečeně štěpánská,10,Přesunuto ze Strávníčku
3066,hovězí závitek-španělský ptáček,10,Přesunuto ze Strávníčku
3069,hovezi zavitek plneny vejcem,10,Přesunuto ze Strávníčku
3070,roštěná na paprice,10,Přesunuto ze Strávníčku
3071,roštěná přírodní,10,Přesunuto ze Strávníčku
3072,roštěná znojemská,10,Přesunuto ze Strávníčku
3075,vepřové dušené na paprice,10,Přesunuto ze Strávníčku
3078,telecí pečeně,10,Přesunuto ze Strávníčku
3082,telecí žebírko na másle,10,Přesunuto ze Strávníčku
3083,rizoto z vepřového masa,10,Přesunuto ze Strávníčku
3084,vepřová pečeně,10,Přesunuto ze Strávníčku
3085,vepřová pečeně selská,10,Přesunuto ze Strávníčku
3087,vepřové maso dušené v kapustě,10,Přesunuto ze Strávníčku
3088,vepřové maso dušené v kedlubnách,10,Přesunuto ze Strávníčku
3089,vepřové maso dušené v mrkvi,10,Přesunuto ze Strávníčku
3090,vepřové maso na kmíně,10,Přesunuto ze Strávníčku
3091,vepřové maso uzené s kostí,10,Přesunuto ze Strávníčku
3092,vepřové žebírko smažené,10,Přesunuto ze Strávníčku
3093,vepřový bůček nadívaný,10,Přesunuto ze Strávníčku
3094,vepřový guláš,10,Přesunuto ze Strávníčku
3095,vepřový guláš segedínský,10,Přesunuto ze Strávníčku
3096,vepřový kotlet přírodní,10,Přesunuto ze Strávníčku
3097,vepřová roláda,10,Přesunuto ze Strávníčku
3098,vepřový řízek smažený,10,Přesunuto ze Strávníčku
3099,holanský řízek,10,Přesunuto ze Strávníčku
3106,jaternicový prejt,10,Přesunuto ze Strávníčku
3107,čevabčiči,10,Přesunuto ze Strávníčku
3108,karbanátky smažené,10,Přesunuto ze Strávníčku
3109,klopsy s hráškem,10,Přesunuto ze Strávníčku
3114,papriky plněné,10,Přesunuto ze Strávníčku
3115,plněné zelí na slanině,10,Přesunuto ze Strávníčku
3116,sekaná pečeně,10,Přesunuto ze Strávníčku
3117,sekaná se sojou,10,Přesunuto ze Strávníčku
3119,mletý řízek máslový,10,Přesunuto ze Strávníčku
3121,játra na slanině,10,Přesunuto ze Strávníčku
3123,játra drůbeží dušená,10,Přesunuto ze Strávníčku
3125,hovězí s polskou omáčkou,10,Přesunuto ze Strávníčku
3132,srdce na slanině,10,Přesunuto ze Strávníčku
3134,párky 150g s hořčicí,10,Přesunuto ze Strávníčku
3135,salám opečený,10,Přesunuto ze Strávníčku
3136,salám smažený,10,Přesunuto ze Strávníčku
3138,tlačenka s cibulí 150g,10,Přesunuto ze Strávníčku
3139,vuřty,10,Přesunuto ze Strávníčku
3148,rizoto z kuřecího masa,10,Přesunuto ze Strávníčku
3149,slepice na paprice,10,Přesunuto ze Strávníčku
3155,rybí filé smažené,10,Přesunuto ze Strávníčku
3158,koprová omáčka,10,Přesunuto ze Strávníčku
3159,rajská omáčka,10,Přesunuto ze Strávníčku
3164,okurková omáčka,10,Přesunuto ze Strávníčku
3166,pórková omáčka,10,Přesunuto ze Strávníčku
3168,křenová omáčka,10,Přesunuto ze Strávníčku
3169,brambory zapečené se salámem,10,Přesunuto ze Strávníčku
3170,bramborový guláš,10,Přesunuto ze Strávníčku
3172,bramborové knedlíky plněné uzeným masem,10,Přesunuto ze Strávníčku
3175,těstoviny zapečené s masem,10,Přesunuto ze Strávníčku
3176,těstoviny zapečené se salámem,10,Přesunuto ze Strávníčku
3177,bramborák smažený,10,Přesunuto ze Strávníčku
3178,bramborové knedlíky s cibulkou,10,Přesunuto ze Strávníčku
3181,čočka na kyselo,10,Přesunuto ze Strávníčku
3185,hrách vařený se slaninou,10,Přesunuto ze Strávníčku
3186,knedlíky s vejci,10,Přesunuto ze Strávníčku
3187,brambory nové s tvarohem,10,Přesunuto ze Strávníčku
3188,buchtičky dukátové s krémem,10,Přesunuto ze Strávníčku
3189,polévka kulajda,10,Přesunuto ze Strávníčku
3191,kaše  krupicová,10,Přesunuto ze Strávníčku
3192,kaše rýžová,10,Přesunuto ze Strávníčku
3193,knedlíky kynuté s povidly,10,Přesunuto ze Strávníčku
3194,puding,10,Přesunuto ze Strávníčku
3196,nákyp krupicový,10,Přesunuto ze Strávníčku
3198,nákyp rýžový s ovocem - kompotem,10,Přesunuto ze Strávníčku
3199,palačinky se zavařeninou,10,Přesunuto ze Strávníčku
3201,bramborové šišky s houskou a máslem,10,Přesunuto ze Strávníčku
3202,škubánky s mákem,10,Přesunuto ze Strávníčku
3204,těstoviny s mákem -tvarohem,10,Přesunuto ze Strávníčku
3205,špagety se sýrem,10,Přesunuto ze Strávníčku
3206,žemlovka jablková,10,Přesunuto ze Strávníčku
3207,žemlovka tvarohová,10,Přesunuto ze Strávníčku
3208,kuřecí maso v sýrové omáčce,10,Přesunuto ze Strávníčku
3210,kapusta dušená se salámem,10,Přesunuto ze Strávníčku
3211,karbanátky kapustové,10,Přesunuto ze Strávníčku
3212,květák smažený,10,Přesunuto ze Strávníčku
3214,květákový mozeček,10,Přesunuto ze Strávníčku
3215,zeleninové lečo s uzeninou,10,Přesunuto ze Strávníčku
3216,mrkev dušená,10,Přesunuto ze Strávníčku
3218,špenát dušený,10,Přesunuto ze Strávníčku
3222,rizoto zeleninové,10,Přesunuto ze Strávníčku
3224,zelí hlávkové dušené,10,Přesunuto ze Strávníčku
3225,zelí kyselé dušené,10,Přesunuto ze Strávníčku
3226,salát hlávkový,10,Přesunuto ze Strávníčku
3227,salát okurkový,10,Přesunuto ze Strávníčku
3228,salát mrkvový,10,Přesunuto ze Strávníčku
3230,salát z hlávkového zelí,10,Přesunuto ze Strávníčku
3231,salát z kyselého zelí,10,Přesunuto ze Strávníčku
3232,salát z rajčat,10,Přesunuto ze Strávníčku
3233,majoneza základní,10,Přesunuto ze Strávníčku
3235,obložený chléb 1,10,Přesunuto ze Strávníčku
3236,obložený chléb 2,10,Přesunuto ze Strávníčku
3237,studená mísa,10,Přesunuto ze Strávníčku
3238,studená mísa 2,10,Přesunuto ze Strávníčku
3239,topinky,10,Přesunuto ze Strávníčku
3241,pomazánka drožďová,10,Přesunuto ze Strávníčku
3242,pomazánka turistická,10,Přesunuto ze Strávníčku
3243,pomazánka salámová,10,Přesunuto ze Strávníčku
3244,pomazánka sýrová,10,Přesunuto ze Strávníčku
3245,pomazánka tvarohová,10,Přesunuto ze Strávníčku
3246,pomazánka vaječná,10,Přesunuto ze Strávníčku
3247,pomazánka z tuňáka,10,Přesunuto ze Strávníčku
3248,bramborová kaše,10,Přesunuto ze Strávníčku
3249,bramborové placky,10,Přesunuto ze Strávníčku
3250,bramborový salát s majonézou,10,Přesunuto ze Strávníčku
3252,bramborové knedlíky z prášku,10,Přesunuto ze Strávníčku
3254,brambory vařené,10,Přesunuto ze Strávníčku
3255,houskové knedlíky s práškem,10,Přesunuto ze Strávníčku
3256,houskové knedlíky s droždím,10,Přesunuto ze Strávníčku
3257,hrachová kaše s cibulkou,10,Přesunuto ze Strávníčku
3258,kaše nastavovaná s cibulkou,10,Přesunuto ze Strávníčku
3260,těstoviny,10,Přesunuto ze Strávníčku
3261,bábovka kynutá,10,Přesunuto ze Strávníčku
3262,bábovka třená,10,Přesunuto ze Strávníčku
3263,těstoviny-zavářka,10,Přesunuto ze Strávníčku
3264,rýže dušená,10,Přesunuto ze Strávníčku
3265,bublanina,10,Přesunuto ze Strávníčku
3266,buchty,10,Přesunuto ze Strávníčku
3267,bochánky,10,Přesunuto ze Strávníčku
3270,buchta na plech s kakaovou polevou,10,Přesunuto ze Strávníčku
3271,jidáše,10,Přesunuto ze Strávníčku
3272,koblihy,10,Přesunuto ze Strávníčku
3273,koláč tvarohový na plech,10,Přesunuto ze Strávníčku
3274,koláče ovocné kynuté-moučník,10,Přesunuto ze Strávníčku
3275,koláče rohové s drobenkou,10,Přesunuto ze Strávníčku
3276,lívance,10,Přesunuto ze Strávníčku
3277,koláč třený na plech,10,Přesunuto ze Strávníčku
3278,mazanec,10,Přesunuto ze Strávníčku
3279,náplň tvarohová,10,Přesunuto ze Strávníčku
3280,náplň maková,10,Přesunuto ze Strávníčku
3281,perník-moučník 1ks,10,Přesunuto ze Strávníčku
3282,náplň povidlová,10,Přesunuto ze Strávníčku
3293,šátečky tvarohové,10,Přesunuto ze Strávníčku
3296,vánočka,10,Přesunuto ze Strávníčku
3298,vdolečky smažené,10,Přesunuto ze Strávníčku
3299,závin jablkový- moučník 1ks,10,Přesunuto ze Strávníčku
3301,ostravské nudle,10,Přesunuto ze Strávníčku
3302,perník domácí 4ks,10,Přesunuto ze Strávníčku
3303,bratislavské vepřové plecko,10,Přesunuto ze Strávníčku
3304,záhorácký závitek,10,Přesunuto ze Strávníčku
3332,rošťáci,10,Přesunuto ze Strávníčku
3333,"mléko 0,2",10,Přesunuto ze Strávníčku
3334,"mléko 0,25",10,Přesunuto ze Strávníčku
3335,"mléko 0,3",10,Přesunuto ze Strávníčku
3336,kus kus,10,Přesunuto ze Strávníčku
3337,sekaná drůbeží mražená,10,Přesunuto ze Strávníčku
3338,okurka sterilovaná,10,Přesunuto ze Strávníčku
3339,kuřecí maso na zelenině,10,Přesunuto ze Strávníčku
3340,pomazánka paštiková,10,Přesunuto ze Strávníčku
3341,polévka uzená s rýží,10,Přesunuto ze Strávníčku
3342,polévka s krupicovymi noky,10,Přesunuto ze Strávníčku
3343,knedliky houskove,10,Přesunuto ze Strávníčku
3344,kuře na divoko,10,Přesunuto ze Strávníčku
3345,polevka krkonoska cibulacka,10,Přesunuto ze Strávníčku
3346,vepřová kýta hamburská,10,Přesunuto ze Strávníčku
3347,polévka žampionový krém,10,Přesunuto ze Strávníčku
3348,rybí file na rajčatech,10,Přesunuto ze Strávníčku
3349,tvaroh šlehaný,10,Přesunuto ze Strávníčku
3350,veky,10,Přesunuto ze Strávníčku
3351,pudink s tvarohem,10,Přesunuto ze Strávníčku
3352,salám s cibulí,10,Přesunuto ze Strávníčku
3353,"zmrzlina,nanuky",10,Přesunuto ze Strávníčku
3354,salát z čínského zelí,10,Přesunuto ze Strávníčku
3355,rybí prsty,10,Přesunuto ze Strávníčku
3356,koktejl mléčný jahodový kompot,10,Přesunuto ze Strávníčku
3357,kuřecí maso na hořčici,10,Přesunuto ze Strávníčku
3358,sýr tavený 50g,10,Přesunuto ze Strávníčku
3359,sýr tavený 100g,10,Přesunuto ze Strávníčku
3360,vejce vařené 1ks,10,Přesunuto ze Strávníčku
3361,vejce míchaná 2ks,10,Přesunuto ze Strávníčku
3362,tatarská omáčka z majonézy,10,Přesunuto ze Strávníčku
3363,rizoto zeleninové- mražená zelenina,10,Přesunuto ze Strávníčku
3364,zelenina sterilovaná,10,Přesunuto ze Strávníčku
3365,koktejl mléčný banánový,10,Přesunuto ze Strávníčku
3366,koktejl mléčný čokoládový,10,Přesunuto ze Strávníčku
3368,tatarská omáčka ks,10,Přesunuto ze Strávníčku
3369,brokolice zapečená se sýrem,10,Přesunuto ze Strávníčku
3370,kuřecí stehna pečená,10,Přesunuto ze Strávníčku
3371,uhlířina,10,Přesunuto ze Strávníčku
3372,masové kuličky v rajské omáčce,10,Přesunuto ze Strávníčku
3373,hovězí maso vařené,10,Přesunuto ze Strávníčku
3374,závin jablkový lískové těsto-moučník 1ks,10,Přesunuto ze Strávníčku
3375,knedlíky špekové,10,Přesunuto ze Strávníčku
3376,vaječná omeleta se špenátem,10,Přesunuto ze Strávníčku
3377,salát šopský 400G,10,Přesunuto ze Strávníčku
3378,kompot 400g-600g,10,Přesunuto ze Strávníčku
3379,kompot 2500g,10,Přesunuto ze Strávníčku
3380,kompot 3500g,10,Přesunuto ze Strávníčku
3381,kompot 350g,10,Přesunuto ze Strávníčku
3382,čína z drůbežího masa,10,Přesunuto ze Strávníčku
3383,čína z vepřového masa,10,Přesunuto ze Strávníčku
3384,chlebová smaženka,10,Přesunuto ze Strávníčku
3385,ledvinky na cibulce,10,Přesunuto ze Strávníčku
3386,vepřové maso po sečuánsku,10,Přesunuto ze Strávníčku
3387,brambory šťouchané,10,Přesunuto ze Strávníčku
3388,vepřový plátek přírodní,10,Přesunuto ze Strávníčku
3389,těstovinový salát se zeleninou,10,Přesunuto ze Strávníčku
3390,halušky,10,Přesunuto ze Strávníčku
3391,špagety po italsku,10,Přesunuto ze Strávníčku
3392,vepřová kýta na paprice,10,Přesunuto ze Strávníčku
3393,polévka s opraženou krupicí,10,Přesunuto ze Strávníčku
10001,bábovka 1/4,8,Přesunuto ze Strávníčku
10085,med porce,10,Přesunuto ze Strávníčku
13208,těstoviny zapečené s houbama,10,Přesunuto ze Strávníčku
13209,těstoviny s kuřecím masem a hlívou ústři,10,Přesunuto ze Strávníčku
13210,kuře na způsob bažanta,10,Přesunuto ze Strávníčku
13211,kuřecí nudličky s nivou,10,Přesunuto ze Strávníčku
13212,portobello plněné mletým masem a sýrem,10,Přesunuto ze Strávníčku
13213,lasagne s mletým masem a zeleninou,10,Přesunuto ze Strávníčku
56569,cukrovinky,10,Přesunuto ze Strávníčku
56570,polévka jáhlová,10,Přesunuto ze Strávníčku
56571,polévka špenátová,10,Přesunuto ze Strávníčku
56572,polévka holandská,10,Přesunuto ze Strávníčku
56573,polévka kaldon,10,Přesunuto ze Strávníčku
56574,hovězí pečeně po burguňsku,10,Přesunuto ze Strávníčku
56575,polévka pohanková,10,Přesunuto ze Strávníčku
56576,taštičky tvarohové,10,Přesunuto ze Strávníčku
56577,polévka hrášková,10,Přesunuto ze Strávníčku
56578,sýr smažený,10,Přesunuto ze Strávníčku
56579,mrkvová šťáva,10,Přesunuto ze Strávníčku
56580,kuřecí maso na rajčatech,10,Přesunuto ze Strávníčku
56581,polévka ruský boršč,10,Přesunuto ze Strávníčku
56583,koláč mřížkový,10,Přesunuto ze Strávníčku
56584,žahour jahodový,10,Přesunuto ze Strávníčku
56585,červená řepa,10,Přesunuto ze Strávníčku
56586,uzené maso,10,Přesunuto ze Strávníčku
56587,kuře s nádivkou,10,Přesunuto ze Strávníčku
56588,fazolky na smetaně,10,Přesunuto ze Strávníčku
56589,žampiony smažené,10,Přesunuto ze Strávníčku
56590,hovězí na česneku,10,Přesunuto ze Strávníčku
56591,myslivecká hovězí pečeně,10,Přesunuto ze Strávníčku
56592,pomazánka škvarková,10,Přesunuto ze Strávníčku
56593,vaječná tlačenka,10,Přesunuto ze Strávníčku
56594,holanská omáčka,10,Přesunuto ze Strávníčku
56595,zavářka - příloha,10,Přesunuto ze Strávníčku
56596,fazolové lusky na slanině,10,Přesunuto ze Strávníčku
56597,pomazánka z vepřových konzerv,10,Přesunuto ze Strávníčku
56598,čaj na patra,10,Přesunuto ze Strávníčku
56599,medové máslo,10,Přesunuto ze Strávníčku
56600,hořčice,10,Přesunuto ze Strávníčku
56601,dresing,10,Přesunuto ze Strávníčku
56602,knedlíky ovocné tvarohové,10,Přesunuto ze Strávníčku
56603,okurky salátové,10,Přesunuto ze Strávníčku
56604,salát řecký,10,Přesunuto ze Strávníčku
56605,dobrá voda,10,Přesunuto ze Strávníčku
56606,kuřecí řízek smažený,10,Přesunuto ze Strávníčku
56607,chlebíček obložený 20ks,20,Přesunuto ze Strávníčku
56608,bramborový salát selský,10,Přesunuto ze Strávníčku
56609,guláš drůbeží,10,Přesunuto ze Strávníčku
56610,kuřecí řízek přírodní,10,Přesunuto ze Strávníčku
56611,kuřecí nugetky na ledovém salátě,10,Přesunuto ze Strávníčku
56612,zbojnická roláda,10,Přesunuto ze Strávníčku
56613,vepřová plec na zelenině,10,Přesunuto ze Strávníčku
56614,vepřové výpečky,10,Přesunuto ze Strávníčku
56615,hovězí pečeně pražská,10,Přesunuto ze Strávníčku
56616,hovězí pečeně znojemská,10,Přesunuto ze Strávníčku
56617,kuře na roštu,10,Přesunuto ze Strávníčku
56618,těstoviny s hříbkovou omáčkou a kuřecím,10,Přesunuto ze Strávníčku
56619,brambory zapečené s rybím masem a špenát,10,Přesunuto ze Strávníčku
56620,sekaná pečeně plněná,10,Přesunuto ze Strávníčku
56621,polévka brokolicová,10,Přesunuto ze Strávníčku
56622,játra restovaná,10,Přesunuto ze Strávníčku
56623,ovocné želé se zakysanou smetanou,10,Přesunuto ze Strávníčku
56624,houbový kuba,10,Přesunuto ze Strávníčku
56625,palačinky zapečené s tvarohem,10,Přesunuto ze Strávníčku
56626,rybí koktejl /z krabích tyčinek/,10,Přesunuto ze Strávníčku
56627,kuřecí nugetky smažené na ledovém salátě,10,Přesunuto ze Strávníčku
56628,ledvinky na smetaně,10,Přesunuto ze Strávníčku
56629,fazole mexické s klobásou,10,Přesunuto ze Strávníčku
56630,polévka rybí s krupicí,10,Přesunuto ze Strávníčku
56631,kuřecí závitky,10,Přesunuto ze Strávníčku
56632,kus kus s vepřovým masem,10,Přesunuto ze Strávníčku
56633,těstoviny s tuňákem a zeleninou,10,Přesunuto ze Strávníčku
56634,vepřový plátek zapečený s bramborem a sý,10,Přesunuto ze Strávníčku
56635,vepřový perkelt,10,Přesunuto ze Strávníčku
56636,těstovinový nákyp s tvarohem,10,Přesunuto ze Strávníčku
56637,kefír,10,Přesunuto ze Strávníčku
56638,nákyp  kus kus s kompotem,10,Přesunuto ze Strávníčku
56639,obložená mísa,10,Přesunuto ze Strávníčku
56640,čočkový salát s mozzarelou,10,Přesunuto ze Strávníčku
56641,ruské vejce,10,Přesunuto ze Strávníčku
56642,zelenina dušená,10,Přesunuto ze Strávníčku
56643,králík na černo,10,Přesunuto ze Strávníčku
56644,králík na cibuli a hořčici,10,Přesunuto ze Strávníčku
56645,králík na másle,10,Přesunuto ze Strávníčku
56646,rybí file po italsku,10,Přesunuto ze Strávníčku
56647,bramborové šišky plněné mákem-polotovar,10,Přesunuto ze Strávníčku
56648,závin jablkový lískové těsto 3ks,10,Přesunuto ze Strávníčku
56649,závin tvarohový lískové těsto 3ks,10,Přesunuto ze Strávníčku
56650,hovězí jazyk na víně,10,Přesunuto ze Strávníčku
56651,ovarové koleno,10,Přesunuto ze Strávníčku
56652,vaječná omeleta s párkem,10,Přesunuto ze Strávníčku
56653,salát rajčatový s mozarelou,10,Přesunuto ze Strávníčku
56654,kapr smažený,10,Přesunuto ze Strávníčku
56655,polévka s vaječným svítkem,10,Přesunuto ze Strávníčku
56656,kuře na paprice,10,Přesunuto ze Strávníčku
56657,klobása 150g,10,Přesunuto ze Strávníčku
56658,kuřecí plátek na paprice,10,Přesunuto ze Strávníčku
56659,žemlovka jablková s tvarohem,10,Přesunuto ze Strávníčku
56660,škvarkové placky,10,Přesunuto ze Strávníčku
56661,salát míchaný,10,Přesunuto ze Strávníčku
56662,knedlíky ovocné,10,Přesunuto ze Strávníčku
56663,tousty šunkové,10,Přesunuto ze Strávníčku
56664,Vepřová pečeně chorvatská,10,Přesunuto ze Strávníčku
56665,Hovězí líčka na víně,10,Přesunuto ze Strávníčku
56666,bulgur,10,Přesunuto ze Strávníčku
56667,bulgur s tuňákem a ledovým salátem,10,Přesunuto ze Strávníčku
56668,mexická kuřecí pánev,10,Přesunuto ze Strávníčku
56669,taštičky tvarohové polotovar,10,Přesunuto ze Strávníčku
56670,pomazánka z lučiny,10,Přesunuto ze Strávníčku
56671,buřty na černém pivu,10,Přesunuto ze Strávníčku
56672,kuře tří hořčic,10,Přesunuto ze Strávníčku
56673,nádivka,10,Přesunuto ze Strávníčku
56674,brokolice dušená,10,Přesunuto ze Strávníčku
56675,těstoviny po italsku,10,Přesunuto ze Strávníčku
56676,kapr po mlynářsku,10,Přesunuto ze Strávníčku
56677,vaječná omeleta se zeleninou,10,Přesunuto ze Strávníčku
56678,závin salámový,10,Přesunuto ze Strávníčku
56679,kaše vločková,10,Přesunuto ze Strávníčku
56680,spatzle s mákem,10,Přesunuto ze Strávníčku
56681,spatzle s tvarohem,10,Přesunuto ze Strávníčku
56682,spatzle vařené- příloha,10,Přesunuto ze Strávníčku
56683,tortila s kuřecím masem,10,Přesunuto ze Strávníčku
56684,bramborové knedlíky s vajíčkem,10,Přesunuto ze Strávníčku
56686,sekaná svíčková,10,Přesunuto ze Strávníčku
56687,CDS- vejce,10,Přesunuto ze Strávníčku
56688,CDS- mouka hladká,10,Přesunuto ze Strávníčku
56689,CDS- mléko,10,Přesunuto ze Strávníčku
56690,CDS- cukr krupice,10,Přesunuto ze Strávníčku
56691,CDS- cukr moučka,10,Přesunuto ze Strávníčku
57258,ovocný salát s čínským zelím,10,Přesunuto ze Strávníčku
